Rank,SMILES,Prediction,Predicted_Class,Probability_Active,Probability_Inactive
69,COC(=O)CCC1=C(CCC(=O)OC)/C2=C/C3=N/C(=C\C4=C(C(=O)OC)C(CCC(=O)OC)=C(N4)/C=C4\N=C(\C=C\1/N\2)C(CCC(=O)OC)=C4CC(=O)OC)/C(CCC(=O)OC)=C3CC(=O)OC,1,Active,0.79,0.20999999999999996
70,COC1=C(OC2OC(COC(C)=O)C(OC(C)=O)C(O)C2OC(C)=O)C=C2OC=C(C(=O)C2=C1)C1=CC=C(O)C=C1,1,Active,0.79,0.20999999999999996
71,COC1=CC(=CC(OC)=C1O)C(O)C(CO)OC1=C(OC)C=C(C=C1OC)C1OCC2C1COC2C1=CC(OC)=C(O)C(OC)=C1,1,Active,0.79,0.20999999999999996
72,COC1=CC(O)=CC2=C1C(=O)C1=C(C=C(C)C(O)=C1)C2=O,1,Active,0.79,0.20999999999999996
73,O[C@@H]1[C@@H](COC(=O)\C=C\C2=CC=C(O)C=C2)O[C@@H](OC2=C(OC3=C(C(O)=CC(O)=C3)C2=O)C2=CC=C(O)C=C2)[C@H](O)[C@H]1O,1,Active,0.7842694435405142,0.2157305564594858
74,OC1C(COC(=O)\C=C\C2=CC=C(O)C=C2)OC(OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)C(O)C1O,1,Active,0.7842694435405142,0.2157305564594858
75,OCC1OC(OC2=C(OC3=CC(OC(=O)\C=C\C4=CC=C(O)C=C4)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)C(O)C(O)C1O,1,Active,0.7842694435405142,0.2157305564594858
76,OCC1OC(OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)C(OC(=O)\C=C\C2=CC=C(O)C=C2)C(O)C1O,1,Active,0.7842694435405142,0.2157305564594858
77,OC1C(COC(=O)\C=C\C2=CC=C(O)C=C2)OC(OC2=CC(O)=C3C(OC(=C(O)C3=O)C3=CC=C(O)C=C3)=C2)C(O)C1O,1,Active,0.7842694435405142,0.2157305564594858
78,COC1=C(O)C=CC(=C1)C1=[O+]C2=CC(O)=CC(O)=C2C=C1O[C@@H]1O[C@H](COC(=O)\C=C\C2=CC(O)=C(O)C=C2)[C@@H](O)[C@H](O)[C@H]1O,1,Active,0.7842694435405142,0.2157305564594858
